county,si_crude_rate,year
Northampton,48.3,2019
Onslow,35.0,2019
Orange,52.2,2019
Pamlico,36.6,2019
Pasquotank,49.2,2019
Pender,45.6,2019
Perquimans,31.3,2019
Person,38.7,2019
Pitt,68.5,2019
Polk,33.3,2019
Randolph,39.8,2019
Richmond,73.4,2019
Robeson,102.5,2019
Rockingham,62.7,2019
Rowan,51.6,2019
Rutherford,50.7,2019
Sampson,31.3,2019
Scotland,79.4,2019
Stanly,51.3,2019
Stokes,47.3,2019
Surry,50.9,2019
Swain,87.3,2019
Transylvania,57.7,2019
Tyrrell,44.8,2019
Union,30.7,2019
Vance,40.8,2019
Wake,28.1,2019
Warren,20.8,2019
Washington,35.8,2019
Watauga,40.8,2019
Wayne,48.0,2019
Wilkes,40.9,2019
Wilson,44.4,2019
Yadkin,49.4,2019
Yancey,40.2,2019
Alamance,54.0,2020
Alexander,37.1,2020
Alleghany,44.2,2020
Anson,30.4,2020
Ashe,43.0,2020
Avery,54.5,2020
Beaufort,57.3,2020
Bertie,45.9,2020
Bladen,47.3,2020
Brunswick,32.7,2020
Buncombe,83.4,2020
Burke,48.0,2020
Cabarrus,27.2,2020
Caldwell,49.8,2020
Camden,26.0,2020
Carteret,32.9,2020
Caswell,18.1,2020
Catawba,66.3,2020
Chatham,22.7,2020
Cherokee,35.2,2020
Chowan,31.4,2020
Clay,13.6,2020
Cleveland,29.8,2020
Columbus,35.8,2020
Craven,39.6,2020
Cumberland,53.4,2020
Currituck,20.1,2020
Dare,25.1,2020
Davidson,42.9,2020
Davie,37.1,2020
Duplin,41.2,2020
Durham,48.0,2020
Edgecombe,95.8,2020
Forsyth,61.7,2020
Franklin,22.9,2020
Gaston,40.3,2020
Gates,27.0,2020
Graham,38.7,2020
Granville,30.0,2020
Greene,36.7,2020
Guilford,57.5,2020
Halifax,48.8,2020
Harnett,34.1,2020
Haywood,65.0,2020
Henderson,60.1,2020
Hertford,39.3,2020
Hoke,33.1,2020
Hyde,48.2,2020
Iredell,37.6,2020
Jackson,35.5,2020
Johnston,34.5,2020
Jones,25.2,2020
Lee,45.9,2020
Lenoir,40.9,2020
Lincoln,36.9,2020
Macon,35.6,2020
Madison,55.3,2020
Martin,36.5,2020
McDowell,78.6,2020
Mecklenburg,30.4,2020
Mitchell,35.6,2020
Montgomery,45.5,2020
Moore,30.1,2020
Nash,52.6,2020
New Hanover,51.1,2020
Northampton,45.2,2020
Onslow,30.3,2020
Orange,42.5,2020
Pamlico,23.7,2020
Pasquotank,45.3,2020
Pender,39.5,2020
Perquimans,35.5,2020
Person,38.1,2020
Pitt,58.2,2020
Polk,43.2,2020
Randolph,22.7,2020
Richmond,68.6,2020
Robeson,91.0,2020
Rockingham,51.1,2020
Rowan,46.3,2020
Rutherford,63.2,2020
Sampson,22.8,2020
Scotland,64.3,2020
Stanly,40.0,2020
Stokes,41.4,2020
Surry,49.1,2020
Swain,83.8,2020
Transylvania,54.1,2020
Tyrrell,54.2,2020
Union,23.8,2020
Vance,37.5,2020
