fips,county,si_crude_rate,sii_crude_rate,mh_provider_rate,pct_uninsured,pct_unemployed,pct_children_poverty,avg_mentally_unhealthy_days,population,pct_rural,log_population,mh_provider_ratio,mh_provider_rate_z,capacity_score,si_crude_rate_z,sii_crude_rate_z,burden_score,gap_index,cluster_labels,cluster_name
37033,Caswell,35.2,8.5,70.15390000000001,12.478643296,3.5521628499,23.3,5.055634251,5093,99.828465869,8.535622326884605,1425.0,-0.972320546932556,-0.972320546932556,-0.8787892285684505,-0.6999236325873385,-0.7893564305778945,0.1829641163546613,1,"Under-Resourced, Moderate Need"
37199,Yancey,50.1,12.4,237.61749,12.765646681,3.1179070601,22.0,5.396577423,3973,100.0,8.287276755814599,421.0,0.0658892129581218,0.0658892129581218,-0.1220879164053717,0.2639542512723435,0.0709331674334859,0.005043954475364,1,"Under-Resourced, Moderate Need"
37081,Guilford,50.9,15.4,353.54068,10.096884123,3.9140433321,20.6,5.3674821198,139436,14.156686046,11.845360993609182,283.0,0.7845683434823237,0.7845683434823237,-0.0814596580341998,1.005398777318253,0.4619695596420264,-0.3225987838402973,1,"Under-Resourced, Moderate Need"
37053,Currituck,22.1,6.2,82.29671,9.8336500058,3.0575902157,10.5,4.9287528476,7437,95.882562278,8.9142228207033,1215.0,-0.8970398017001259,-0.8970398017001259,-1.5440769593963923,-1.268364435889202,-1.4062206976427971,-0.5091808959426712,1,"Under-Resourced, Moderate Need"
37057,Davidson,52.3,12.3,126.42731,12.310656824,3.3685089864,21.2,5.1346100536,40832,47.714437933,10.61722136670446,791.0,-0.6234470784709658,-0.6234470784709658,-0.0103602058846488,0.23923943373748,0.1144396139264155,0.7378866923973814,1,"Under-Resourced, Moderate Need"
37197,Yadkin,62.8,13.8,95.30365,13.421034694,3.1462971377,17.8,5.3932726386,8305,100.0,9.024613022047395,1049.0,-0.8164017832848247,-0.8164017832848247,0.5228856852369839,0.6099616967604345,0.5664236909987093,1.382825474283534,1,"Under-Resourced, Moderate Need"
37023,Burke,79.5,10.3,330.54857000000004,13.47497526,3.2802157392,24.4,5.4989310321,20779,45.923261391,9.94169814029988,303.0,0.6420261168258905,0.6420261168258905,1.3710005787351998,-0.2550569169597927,0.5579718308877035,-0.0840542859381869,0,"High Need, Under-Resourced"
37191,Wayne,46.3,10.6,282.25739,13.634298817,3.7433466724,22.2,5.4257169446,29660,53.588504513,10.297554615691922,354.0,0.3426394000318843,0.3426394000318843,-0.315072143668439,-0.1809124643552021,-0.2479923040118206,-0.5906317040437049,1,"Under-Resourced, Moderate Need"
37059,Davie,55.8,14.3,103.14133,10.240700219,3.1402247841,13.9,4.9035827518,9330,70.44156209,9.140990293841387,970.0,-0.7678111859442329,-0.7678111859442329,0.1673884244892287,0.7335357844347528,0.4504621044619907,1.2182732904062237,1,"Under-Resourced, Moderate Need"
37111,McDowell,90.7,21.0,211.61428,13.577497803,3.2205563227,20.1,5.3173284186,10804,73.011350891,9.287671714912506,473.0,-0.0953206739819996,-0.0953206739819996,1.9397961959316083,2.3894285592706166,2.1646123776011126,2.259933051583112,0,"High Need, Under-Resourced"
37009,Ashe,42.9,11.2,177.36392999999998,13.603904444,3.0031201248,22.0,5.2628174529,5679,100.0,8.644530439877432,564.0,-0.3076596525603982,-0.3076596525603982,-0.48774224174592,-0.0326235591460203,-0.2601829004459702,0.0474767521144279,1,"Under-Resourced, Moderate Need"
37161,Rutherford,66.7,13.2,195.39896,12.276668683,4.6121679239,20.3,5.587727635,14466,67.785984731,9.579556347409229,512.0,-0.1958494126991771,-0.1958494126991771,0.7209484447964477,0.4616727915512524,0.5913106181738501,0.7871600308730272,0,"High Need, Under-Resourced"
37187,Washington,27.8,4.8,102.67899,12.221055395,4.7905577413,35.8,5.403196235,1976,100.0,7.588829878307813,974.0,-0.7706775158753413,-0.7706775158753413,-1.2546006185017915,-1.6143718813772931,-1.4344862499395423,-0.6638087340642013,1,"Under-Resourced, Moderate Need"
37193,Wilkes,54.2,15.7,242.3765,13.462886908,3.7253636122,20.7,5.5804779511,14463,69.849474753,9.579348943073732,413.0,0.0953932420394124,0.0953932420394124,0.0861319077468849,1.0795432299228434,0.5828375688348642,0.4874443267954517,0,"High Need, Under-Resourced"
37185,Warren,62.1,7.0,116.79762,15.034426893,5.3701938354,30.6,5.4519950902,3969,100.0,8.286269452783065,856.0,-0.683147447624175,-0.683147447624175,0.4873359591622085,-1.070645895610293,-0.2916549682240422,0.3914924794001327,1,"Under-Resourced, Moderate Need"
37103,Jones,45.4,9.7,42.54867,13.603957515,3.1578947368,30.3,5.4619350134,1987,100.0,7.594381242551817,2350.0,-1.1434623408593847,-1.1434623408593847,-0.3607789343360075,-0.4033458221689749,-0.3820623782524912,0.7613999626068935,1,"Under-Resourced, Moderate Need"
37141,Pender,34.3,7.4,163.45354,11.672752168,3.1952737899,14.4,5.0854484177,15542,61.008587612,9.651301315769189,612.0,-0.393898713014588,-0.393898713014588,-0.9244960192360192,-0.9717866254708384,-0.9481413223534289,-0.5542426093388408,1,"Under-Resourced, Moderate Need"
37123,Montgomery,33.4,5.0,145.67759,16.192888154,3.6245435925,21.2,5.2484674717,6111,100.0,8.717845704894916,686.0,-0.5041027566597093,-0.5041027566597093,-0.9702028099035878,-1.5649422463075655,-1.2675725281055767,-0.7634697714458675,1,"Under-Resourced, Moderate Need"
37099,Jackson,34.7,9.0,475.61359,15.694090848,3.5946080879,21.3,5.3085359661,9321,66.665893433,9.140025198061156,210.0,1.5413733694599483,1.5413733694599483,-0.904181890050433,-0.5763495449130203,-0.7402657174817266,-2.2816390869416754,2,Well-Resourced
37175,Transylvania,69.1,12.9,333.84005,13.613323678,3.2275380796,18.4,4.9324396518,6589,60.410477172,8.793156870913819,300.0,0.6624320251220457,0.6624320251220457,0.8428332199099633,0.3875283389466618,0.6151807794283125,-0.0472512456937331,2,Well-Resourced
37171,Surry,46.5,13.0,149.72993,13.372249181,3.1697863774,16.3,5.5050723116,16105,75.680713014,9.6868850617653,668.0,-0.4789798094065459,-0.4789798094065459,-0.3049150790756458,0.4122431564815253,0.0536640387029397,0.5326438481094856,1,"Under-Resourced, Moderate Need"
37089,Henderson,46.1,9.3,275.09855,13.610216959,2.9071934402,15.5,5.0659525491,25658,34.279030968,10.152610692809285,364.0,0.2982573492380623,0.2982573492380623,-0.3252292082612318,-0.5022050923084291,-0.4137171502848304,-0.7119744995228927,2,Well-Resourced
37145,Person,46.1,8.1,108.21149,10.917201185,3.4882506527,19.2,5.3044686054,8736,75.70146047,9.075207697984686,924.0,-0.7363781467014499,-0.7363781467014499,-0.3252292082612318,-0.7987829027267931,-0.5620060554940125,0.1743720912074373,1,"Under-Resourced, Moderate Need"
37115,Madison,60.0,16.0,212.94912,10.772217699,3.1665363565,20.0,5.1480453767,5012,100.0,8.51959031601596,470.0,-0.0870451800917011,-0.0870451800917011,0.3806867809378819,1.1536876825274345,0.7671872317326582,0.8542324118243594,1,"Under-Resourced, Moderate Need"
37017,Bladen,62.2,12.2,101.7501,13.971539457,4.2237993523,29.1,5.5114526149,6365,100.0,8.758569510991506,983.0,-0.7764362761160888,-0.7764362761160888,0.4924144914586051,0.214524616202616,0.3534695538306105,1.1299058299466993,0,"High Need, Under-Resourced"
37129,New Hanover,56.9,8.5,592.41706,10.893820003,3.1426959955,15.5,5.2947873968,59346,1.7106627323,10.991140000967896,169.0,2.2655098969468965,2.2655098969468965,0.2232522797495902,-0.6999236325873385,-0.2383356764188741,-2.5038455733657705,2,Well-Resourced
37007,Anson,86.8,25.1,86.76988,12.467216785,4.033908214,33.0,5.4290528787,5549,77.76921333,8.621373010325902,1152.0,-0.8693078705283998,-0.8693078705283998,1.7417334363721444,3.402736078200026,2.5722347572860853,3.441542627814485,0,"High Need, Under-Resourced"
37035,Catawba,84.9,13.0,274.53005,11.952563122,3.2910403568,15.6,4.9570396067,38487,35.157213125,10.55807580091745,364.0,0.294732868194166,0.294732868194166,1.6452413227406113,0.4122431564815253,1.0287422396110684,0.7340093714169024,2,Well-Resourced
37063,Durham,61.4,8.7,771.7606800000001,10.587203944,3.0575628249,15.1,4.6344712143,106243,5.1130888795,11.573484202263383,130.0,3.3773712672789493,3.3773712672789493,0.4517862330874329,-0.6504939975176113,-0.0993538822150892,-3.4767251494940385,2,Well-Resourced
37075,Graham,73.7,10.0,99.3542,16.458262927,4.3537414966,23.3,5.5378281718,1712,100.0,7.445417556701687,1007.0,-0.7912899333422481,-0.7912899333422481,1.076445705544203,-0.3292013695643838,0.3736221679899095,1.1649121013321575,0,"High Need, Under-Resourced"
37083,Halifax,80.7,13.4,175.48310999999998,12.244486089,5.177959946,41.6,5.4270881951,11186,56.058985644,9.322418275381532,570.0,-0.319320012168105,-0.319320012168105,1.431942966291958,0.5111024266209799,0.9715226964564688,1.290842708624574,0,"High Need, Under-Resourced"
37015,Bertie,40.1,4.2,70.9136,11.694702935,4.3768651414,33.5,5.3298081465,4280,100.0,8.361708288575842,1410.0,-0.9676106995287774,-0.9676106995287774,-0.6299411460450219,-1.762660786586475,-1.1963009663157484,-0.228690266786971,1,"Under-Resourced, Moderate Need"
37167,Stanly,62.9,12.9,220.70351,12.566150675,3.0228427187,14.5,5.1860467015,15726,72.82093946,9.66307067255146,453.0,-0.0389709486722106,-0.0389709486722106,0.5279642175333804,0.3875283389466618,0.4577462782400211,0.4967172269122318,1,"Under-Resourced, Moderate Need"
37079,Greene,32.7,13.4,63.32197,17.894579215,2.8905926233,29.7,5.219913366,5790,100.0,8.663887570567042,1579.0,-1.0146758816348034,-1.0146758816348034,-1.005752535978363,0.5111024266209799,-0.2473250546786915,0.7673508269561118,1,"Under-Resourced, Moderate Need"
37055,Dare,24.1,7.9,215.16662,11.023402998,3.9545791163,13.3,4.6391950382,7898,22.0804551,8.974364841846596,465.0,-0.0732975341553063,-0.0732975341553063,-1.4425063134684624,-0.8482125377965202,-1.1453594256324913,-1.072061891477185,2,Well-Resourced
37047,Columbus,15.9,3.5,167.59442,13.731302319,3.9946260636,30.2,5.7421578066,12007,89.696383067,9.393245092030718,597.0,-0.3682268518623452,-0.3682268518623452,-1.858945961772976,-1.9356645093305205,-1.897305235551748,-1.5290783836894029,1,"Under-Resourced, Moderate Need"
37169,Stokes,59.9,14.0,74.67276,10.413056037,3.1046129644,15.2,5.4353713667,9331,80.523360288,9.141097469234024,1339.0,-0.944305355358199,-0.944305355358199,0.3756082486414853,0.6593913318301617,0.5174997902358236,1.4618051455940226,1,"Under-Resourced, Moderate Need"
37065,Edgecombe,103.1,18.8,73.72215,11.100467993,5.7318168213,39.0,5.5067104778,11411,44.795501022,9.34233308143468,1356.0,-0.9501987712335525,-0.9501987712335525,2.569534200684774,1.8457025735036168,2.2076183870941954,3.157817158327748,0,"High Need, Under-Resourced"
37173,Swain,104.8,11.6,416.78643,19.41841368,2.9358055907,23.3,5.9076732878,3246,100.0,8.085178748074537,240.0,1.1766676345676623,1.1766676345676623,2.655869249723515,0.0662357109934342,1.3610524803584745,0.1843848457908119,0,"High Need, Under-Resourced"
37011,Avery,31.9,6.3,478.33267,15.698793073,3.02641703,22.1,5.226335778,4325,100.0,8.37216741936598,209.0,1.558230618214281,1.558230618214281,-1.0463807943495351,-1.2436496183543386,-1.145015206351937,-2.703245824566218,2,Well-Resourced
37179,Union,36.0,9.2,147.39600000000002,10.452556933,2.9963955965,10.2,4.5022809281,56716,27.632865651,10.94581163685745,678.0,-0.4934492765002684,-0.4934492765002684,-0.8381609701972786,-0.5269199098432932,-0.6825404400202859,-0.1890911635200175,2,Well-Resourced
37121,Mitchell,47.7,16.3,126.67511,11.35144798,3.6204945854,19.8,5.2122087347,3192,100.0,8.068402958569699,789.0,-0.6219108139104073,-0.6219108139104073,-0.2439726915188877,1.2278321351320256,0.4919297218065689,1.1138405357169765,1,"Under-Resourced, Moderate Need"
37133,Onslow,37.1,11.5,288.75494,9.4608608657,4.0124787947,16.2,5.323969533,59947,36.266717504,11.001216117502114,346.0,0.3829217075196054,0.3829217075196054,-0.782297114936917,0.0415208934585707,-0.3703881107391731,-0.7533098182587785,1,"Under-Resourced, Moderate Need"
37001,Alamance,56.5,14.1,192.00179,12.580197056,3.394925088,16.0,5.1132514682,43158,26.44459353,10.67262307909541,521.0,-0.2169105582891397,-0.2169105582891397,0.2029381505640043,0.6841061493650252,0.4435221499645148,0.6604327082536545,1,"Under-Resourced, Moderate Need"
37093,Hoke,57.5,11.7,203.87173,11.169322406,4.4384896468,24.3,5.3386386412,16456,42.609730809,9.708445431332793,491.0,-0.1433215019616313,-0.1433215019616313,0.2537234735279693,0.0909505285282978,0.1723370010281336,0.3156585029897649,1,"Under-Resourced, Moderate Need"
37119,Mecklenburg,51.9,12.6,417.80492,11.315632743,3.3576938388,14.2,4.8969933249,360133,0.8443883451,12.794228686648944,239.0,1.1829818802992331,1.1829818802992331,-0.0306743350702348,0.3133838863420706,0.1413547756359179,-1.0416271046633154,2,Well-Resourced
37073,Gates,15.6,4.9,226.9895373737374,9.1778924839,3.3442244859,19.5,5.3645863218,2022,100.0,7.611842399580417,,0.0,0.0,-1.874181558662165,-1.5896570638424294,-1.7319193112522973,-1.7319193112522973,1,"Under-Resourced, Moderate Need"
37183,Wake,43.7,9.4,429.64861,8.546122895,3.0008600308,8.2,4.716502245,341670,5.1573830584,12.741600637936507,233.0,1.2564081967368523,1.2564081967368523,-0.4471139833747478,-0.4774902747735656,-0.4623021290741567,-1.718710325811009,2,Well-Resourced
37117,Martin,34.3,8.6,121.22908,12.643381879,4.3603978718,30.8,5.4295752408,4706,74.935318415,8.456593569287309,825.0,-0.6556741023879649,-0.6556741023879649,-0.9244960192360192,-0.6752088150524749,-0.7998524171442472,-0.1441783147562823,1,"Under-Resourced, Moderate Need"
37049,Craven,62.3,15.1,326.20054,10.97625947,3.4662490651,25.1,5.0542578143,24244,35.376290707,10.095924443071176,307.0,0.6150700054568609,0.6150700054568609,0.4974930237550013,0.9312543247136617,0.7143736742343315,0.0993036687774706,2,Well-Resourced
37157,Rockingham,49.3,14.7,155.64539,12.506643542,3.9703868972,18.6,5.4477531103,20812,60.917054536,9.943285022410194,642.0,-0.4423062357285726,-0.4423062357285726,-0.1627161747765439,0.832395054574207,0.3348394398988315,0.7771456756274042,1,"Under-Resourced, Moderate Need"
37071,Gaston,61.8,11.2,301.80154,11.213357761,3.3918458827,18.5,5.1127905007,60535,18.861294271,11.01097698914184,331.0,0.4638056026599743,0.4638056026599743,0.4721003622730188,-0.0326235591460203,0.2197384015634992,-0.2440672010964751,2,Well-Resourced
37051,Cumberland,72.3,16.5,465.53612,10.615419395,4.7144446505,22.0,5.178083706,97846,13.841686384,11.491150093092388,215.0,1.47889693676789,1.47889693676789,1.0053462533946516,1.2772617702017526,1.141304011798202,-0.3375929249696878,2,Well-Resourced
37153,Richmond,75.2,11.5,264.62527,12.467994096,4.565701559,31.0,5.5499689837,10345,44.504726866,9.244258590179644,378.0,0.2333270469910615,0.2333270469910615,1.1526236899901503,0.0415208934585707,0.5970722917243605,0.363745244733299,0,"High Need, Under-Resourced"
37095,Hyde,23.7,12.9,21.7061,18.879371877,5.8060879369,31.2,5.2935092737,998,100.0,6.905753276311464,4607.0,-1.2726782474048297,-1.2726782474048297,-1.4628204426540483,0.3875283389466618,-0.5376460518536934,0.7350321955511361,1,"Under-Resourced, Moderate Need"
37137,Pamlico,65.2,11.8,120.74378,12.475958456,3.2616487455,25.4,5.0264118486,2394,100.0,7.780720886117918,828.0,-0.6586827754760967,-0.6586827754760967,0.6447704603505002,0.1156653460631618,0.380217903206831,1.0389006786829276,1,"Under-Resourced, Moderate Need"
37135,Orange,48.6,8.9,829.8700100000001,8.1242133922,2.8912035643,8.2,4.6963992421,34491,29.044493463,10.448453699421847,121.0,3.737626732641349,3.737626732641349,-0.1982659008513192,-0.6010643624478837,-0.3996651316496015,-4.13729186429095,2,Well-Resourced
37149,Polk,44.9,11.1,224.32702,12.346322927,3.284401732,19.8,5.0653901047,3669,91.416597682,8.207674424355282,446.0,-0.0165065822564334,-0.0165065822564334,-0.38617159581799,-0.0573383766808839,-0.2217549862494369,-0.2052484039930034,1,"Under-Resourced, Moderate Need"
37165,Scotland,96.5,18.9,221.08448,11.078355977,6.306787814,42.9,5.5959582881,8698,52.522385439,9.070848393157585,452.0,-0.0366090814016859,-0.0366090814016859,2.234351069122605,1.87041739103848,2.052384230080542,2.088993311482228,0,"High Need, Under-Resourced"
37085,Harnett,45.8,11.5,110.9721,11.851788392,3.9052531316,18.3,5.3754312945,40061,64.15608529,10.598158571464417,901.0,-0.7192634279422748,-0.7192634279422748,-0.3404648051504215,0.0415208934585707,-0.1494719558459254,0.5697914720963494,1,"Under-Resourced, Moderate Need"
37105,Lee,34.2,7.0,217.71873,13.770608915,3.9838157485,22.9,5.2467488841,16469,42.101603856,9.709235104874208,459.0,-0.0574754350929693,-0.0574754350929693,-0.9295745515324156,-1.070645895610293,-1.0001102235713544,-0.942634788478385,1,"Under-Resourced, Moderate Need"
