county,sii_crude_rate,year
Northampton,11.1,2023
Onslow,15.2,2023
Orange,10.7,2023
Pamlico,11.5,2023
Pasquotank,16.6,2023
Pender,6.8,2023
Perquimans,15.2,2023
Person,12.2,2023
Pitt,11.2,2023
Polk,7.6,2023
Randolph,8.8,2023
Richmond,11.3,2023
Robeson,14.2,2023
Rockingham,15.6,2023
Rowan,12.8,2023
Rutherford,18.6,2023
Sampson,12.6,2023
Scotland,14.4,2023
Stanly,14.1,2023
Stokes,14.0,2023
Surry,13.2,2023
Swain,13.7,2023
Transylvania,17.6,2023
Tyrrell,0.0,2023
Union,11.2,2023
Vance,11.0,2023
Wake,9.2,2023
Warren,10.7,2023
Washington,6.7,2023
Watauga,9.2,2023
Wayne,10.8,2023
Wilkes,14.8,2023
Wilson,19.3,2023
Yadkin,14.2,2023
Yancey,13.5,2023
Alamance,14.1,2024
Alexander,20.6,2024
Alleghany,12.0,2024
Anson,25.1,2024
Ashe,11.2,2024
Avery,6.3,2024
Beaufort,10.5,2024
Bertie,4.2,2024
Bladen,12.2,2024
Brunswick,6.7,2024
Buncombe,18.5,2024
Burke,10.3,2024
Cabarrus,10.9,2024
Caldwell,10.4,2024
Camden,11.2,2024
Carteret,6.2,2024
Caswell,8.5,2024
Catawba,13.0,2024
Chatham,9.5,2024
Cherokee,9.4,2024
Chowan,13.1,2024
Clay,6.7,2024
Cleveland,15.7,2024
Columbus,3.5,2024
Craven,15.1,2024
Cumberland,16.5,2024
Currituck,6.2,2024
Dare,7.9,2024
Davidson,12.3,2024
Davie,14.3,2024
Duplin,9.0,2024
Durham,8.7,2024
Edgecombe,18.8,2024
Forsyth,17.7,2024
Franklin,9.2,2024
Gaston,11.2,2024
Gates,4.9,2024
Graham,10.0,2024
Granville,12.8,2024
Greene,13.4,2024
Guilford,15.4,2024
Halifax,13.4,2024
Harnett,11.5,2024
Haywood,11.0,2024
Henderson,9.3,2024
Hertford,4.3,2024
Hoke,11.7,2024
Hyde,12.9,2024
Iredell,11.9,2024
Jackson,9.0,2024
Johnston,9.0,2024
Jones,9.7,2024
Lee,7.0,2024
Lenoir,11.5,2024
Lincoln,10.6,2024
Macon,14.0,2024
Madison,16.0,2024
Martin,8.6,2024
McDowell,21.0,2024
Mecklenburg,12.6,2024
Mitchell,16.3,2024
Montgomery,5.0,2024
Moore,7.3,2024
Nash,11.7,2024
New Hanover,8.5,2024
Northampton,9.2,2024
Onslow,11.5,2024
Orange,8.9,2024
Pamlico,11.8,2024
Pasquotank,17.7,2024
Pender,7.4,2024
Perquimans,11.9,2024
Person,8.1,2024
Pitt,10.6,2024
Polk,11.1,2024
Randolph,11.6,2024
Richmond,11.5,2024
Robeson,12.2,2024
Rockingham,14.7,2024
Rowan,12.8,2024
Rutherford,13.2,2024
Sampson,11.0,2024
Scotland,18.9,2024
Stanly,12.9,2024
Stokes,14.0,2024
Surry,13.0,2024
Swain,11.6,2024
Transylvania,12.9,2024
Tyrrell,0.0,2024
Union,9.2,2024
Vance,11.9,2024
Wake,9.4,2024
Warren,7.0,2024
Washington,4.8,2024
Watauga,5.3,2024
Wayne,10.6,2024
Wilkes,15.7,2024
Wilson,17.6,2024
Yadkin,13.8,2024
Yancey,12.4,2024
